"","year","university","school","degree","employment_rate_overall","employment_rate_ft_perm","basic_monthly_mean","basic_monthly_median","gross_monthly_mean","gross_monthly_median","gross_mthly_25_percentile","gross_mthly_75_percentile","SGP_Fees","SGP_PR_Fees"
"347",2020,"Nanyang Technological University","College of Engineering","Computer Science",92.2,86.1,4508,4250,4558,4300,3880,5000,8200,11500
"348",2020,"Nanyang Technological University","College of Engineering","Electrical and Electronic Engineering",94.5,75.1,3925,3800,4004,3880,3500,4370,8200,11500
"349",2020,"Nanyang Technological University","College of Engineering","Environmental Engineering",90.2,58.5,3364,3375,3444,3450,3200,3800,8200,11500
"350",2020,"Nanyang Technological University","College of Engineering","Information Engineering and Media",96,70,4085,4000,4208,4000,3500,4500,8200,11500
"351",2020,"Nanyang Technological University","College of Engineering","Maritime Studies",90.8,78.5,3608,3500,3646,3500,3300,3875,8200,11500
"352",2020,"Nanyang Technological University","College of Engineering","Materials Engineering",91.5,69,3613,3600,3755,3700,3500,4000,8200,11500
"353",2020,"Nanyang Technological University","College of Engineering","Mechanical Engineering",91.7,67.5,3861,3700,3977,3850,3500,4432,8200,11500
"354",2020,"Nanyang Technological University","College of Humanities, Arts & Social Sciences","Art, Design and Media",90.4,35.7,2858,2800,2925,2800,2500,3300,8200,11500
"355",2020,"Nanyang Technological University","College of Humanities, Arts & Social Sciences","Chinese",83.8,63.5,3251,3350,3310,3500,3000,3500,8200,11500
"356",2020,"Nanyang Technological University","College of Humanities, Arts & Social Sciences","Communication Studies",94.9,66.7,3378,3300,3440,3340,3000,3800,8200,11500
"357",2020,"Nanyang Technological University","College of Humanities, Arts & Social Sciences","Economics",91.8,63.5,3756,3700,3926,3797,3400,4050,8200,11500
"358",2020,"Nanyang Technological University","College of Humanities, Arts & Social Sciences","English",90.9,43.2,3507,3450,3561,3450,3128,3900,8200,11500
"359",2020,"Nanyang Technological University","College of Humanities, Arts & Social Sciences","History",87.2,44.7,3558,3575,3644,3650,3250,4025,8200,11500
"360",2020,"Nanyang Technological University","College of Humanities, Arts & Social Sciences","Linguistics and Multilingual Studies",96.6,63.8,3371,3300,3472,3350,3000,3900,8200,11500
"361",2020,"Nanyang Technological University","College of Humanities, Arts & Social Sciences","Philosophy",96.3,70.4,3417,3300,3580,3650,3300,3850,8200,11500
"362",2020,"Nanyang Technological University","College of Humanities, Arts & Social Sciences","Psychology",83.8,53.5,3315,3200,3433,3300,3100,3650,8200,11500
"363",2020,"Nanyang Technological University","College of Humanities, Arts & Social Sciences","Public Policy and Global Affairs",92.5,67.5,3989,3710,4043,3800,3500,4583,8200,11500
"364",2020,"Nanyang Technological University","College of Humanities, Arts & Social Sciences","Sociology",95.4,66.2,3529,3500,3598,3600,3300,3800,8200,11500
"365",2020,"Nanyang Technological University","College of Science","Biological Sciences",88.9,56.7,3319,3300,3401,3325,3200,3650,8200,11500
"366",2020,"Nanyang Technological University","College of Science","Biomedical Sciences and Chinese Medicine",94.7,84.2,2950,3000,2969,3000,2800,3150,NA,NA
"367",2020,"Nanyang Technological University","College of Science","Chemistry and Biological Chemistry",91.9,45.6,3230,3200,3345,3245,3000,3635,8200,11500
"368",2020,"Nanyang Technological University","College of Science","Environmental Earth Systems Sciences",95.5,63.6,3637,3550,3657,3550,3400,3764,8200,11500
"369",2020,"Nanyang Technological University","College of Science","Mathematical Sciences",92.4,68.9,3746,3600,3823,3656,3300,4250,8200,11500
"370",2020,"Nanyang Technological University","College of Science","Mathematics and Economics",87.1,55.7,3849,3832,3949,3832,3500,4300,8200,11500
